model_name,model_parameters,lecture_title,lecture_topic,system_prompt_id,dialog_id,unique_dialog_id,source,f1,precision,recall,claim_recall,context_precision,context_utilization,hallucination,faithfulness,noise_sensitivity,self_knowledge,version
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt14,dialog0391,analytics_gemma3_4b_prompt14_dialog0391,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как выбрать количество соседей k в k-NN?,prompt14,dialog0392,analytics_gemma3_4b_prompt14_dialog0392,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое евклидова метрика?,prompt14,dialog0393,analytics_gemma3_4b_prompt14_dialog0393,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем суть наивного байесовского классификатора?,prompt14,dialog0394,analytics_gemma3_4b_prompt14_dialog0394,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как работает сглаживание по Лапласу?,prompt14,dialog0395,analytics_gemma3_4b_prompt14_dialog0395,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое манхэттенское расстояние?,prompt14,dialog0396,analytics_gemma3_4b_prompt14_dialog0396,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как вычислить вероятность класса в Naive Bayes?,prompt14,dialog0397,analytics_gemma3_4b_prompt14_dialog0397,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое расстояние Чебышёва?,prompt14,dialog0398,analytics_gemma3_4b_prompt14_dialog0398,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как классифицировать письмо как спам в Naive Bayes?,prompt14,dialog0399,analytics_gemma3_4b_prompt14_dialog0399,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем разница между k-NN и взвешенным k-NN?,prompt14,dialog0400,analytics_gemma3_4b_prompt14_dialog0400,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Вычисли вероятность спама для слова 'приз' из примера.,prompt14,dialog0401,analytics_gemma3_4b_prompt14_dialog0401,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли расстояние Евклида между (1,2) и (3,4).",prompt14,dialog0402,analytics_gemma3_4b_prompt14_dialog0402,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В примере с погодой, вычисли F(да) для теста.",prompt14,dialog0403,analytics_gemma3_4b_prompt14_dialog0403,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли P(да | пасмурно, холодно, влажно, да).",prompt14,dialog0404,analytics_gemma3_4b_prompt14_dialog0404,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В спам-примере, вычисли P(win|спам) с Laplace.",prompt14,dialog0405,analytics_gemma3_4b_prompt14_dialog0405,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое autograd?,prompt14,dialog0406,analytics_gemma3_4b_prompt14_dialog0406,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое TensorFlow?,prompt14,dialog0407,analytics_gemma3_4b_prompt14_dialog0407,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое Keras?,prompt14,dialog0408,analytics_gemma3_4b_prompt14_dialog0408,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое over-fitting?,prompt14,dialog0409,analytics_gemma3_4b_prompt14_dialog0409,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое SGD?,prompt14,dialog0410,analytics_gemma3_4b_prompt14_dialog0410,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое Momentum в оптимизации?,prompt14,dialog0411,analytics_gemma3_4b_prompt14_dialog0411,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое Adam?,prompt14,dialog0412,analytics_gemma3_4b_prompt14_dialog0412,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое learning rate?,prompt14,dialog0413,analytics_gemma3_4b_prompt14_dialog0413,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое метод Ньютона?,prompt14,dialog0414,analytics_gemma3_4b_prompt14_dialog0414,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое RMSProp?,prompt14,dialog0415,analytics_gemma3_4b_prompt14_dialog0415,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли шаг в SGD для L(w)=w^2, w=3, η=0.1.",prompt14,dialog0416,analytics_gemma3_4b_prompt14_dialog0416,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли v_t в Momentum: γ=0.9, v_{t-1}=1, ∇L=2, η=0.1.",prompt14,dialog0417,analytics_gemma3_4b_prompt14_dialog0417,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"В Adagrad, G_{t-1,ii}=4, g_t=2, η=0.1, ε=1e-8.",prompt14,dialog0418,analytics_gemma3_4b_prompt14_dialog0418,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли learning rate decay: η0=0.1, t=5, T=10, linear.",prompt14,dialog0419,analytics_gemma3_4b_prompt14_dialog0419,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"В Nesterov, вычисли ∇ в ω - γ v_{t-1}: γ=0.9, v=1, ∇=2.",prompt14,dialog0420,analytics_gemma3_4b_prompt14_dialog0420,analytics,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt13,dialog0361,analytics_gemma3_4b_prompt13_dialog0361,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как выбрать количество соседей k в k-NN?,prompt13,dialog0362,analytics_gemma3_4b_prompt13_dialog0362,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое евклидова метрика?,prompt13,dialog0363,analytics_gemma3_4b_prompt13_dialog0363,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем суть наивного байесовского классификатора?,prompt13,dialog0364,analytics_gemma3_4b_prompt13_dialog0364,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как работает сглаживание по Лапласу?,prompt13,dialog0365,analytics_gemma3_4b_prompt13_dialog0365,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое манхэттенское расстояние?,prompt13,dialog0366,analytics_gemma3_4b_prompt13_dialog0366,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как вычислить вероятность класса в Naive Bayes?,prompt13,dialog0367,analytics_gemma3_4b_prompt13_dialog0367,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое расстояние Чебышёва?,prompt13,dialog0368,analytics_gemma3_4b_prompt13_dialog0368,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как классифицировать письмо как спам в Naive Bayes?,prompt13,dialog0369,analytics_gemma3_4b_prompt13_dialog0369,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем разница между k-NN и взвешенным k-NN?,prompt13,dialog0370,analytics_gemma3_4b_prompt13_dialog0370,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Вычисли вероятность спама для слова 'приз' из примера.,prompt13,dialog0371,analytics_gemma3_4b_prompt13_dialog0371,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли расстояние Евклида между (1,2) и (3,4).",prompt13,dialog0372,analytics_gemma3_4b_prompt13_dialog0372,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В примере с погодой, вычисли F(да) для теста.",prompt13,dialog0373,analytics_gemma3_4b_prompt13_dialog0373,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли P(да | пасмурно, холодно, влажно, да).",prompt13,dialog0374,analytics_gemma3_4b_prompt13_dialog0374,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В спам-примере, вычисли P(win|спам) с Laplace.",prompt13,dialog0375,analytics_gemma3_4b_prompt13_dialog0375,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое autograd?,prompt13,dialog0376,analytics_gemma3_4b_prompt13_dialog0376,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое TensorFlow?,prompt13,dialog0377,analytics_gemma3_4b_prompt13_dialog0377,analytics,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
